name,position,appearances_2015_2016,clean_sheets_2015_2016,goals_conceded_2015_2016,tackles_2015_2016,tackle_success_percentage_2015_2016,last_man_tackles_2015_2016,blocked_shots_2015_2016,interceptions_2015_2016,clearances_2015_2016,headed_clearance_2015_2016,clearances_off_line_2015_2016,recoveries_2015_2016,duels_won_2015_2016,duels_lost_2015_2016,successful_50_50s_2015_2016,aerial_battles_won_2015_2016,aerial_battles_lost_2015_2016,own_goals_2015_2016,errors_leading_to_goal_2015_2016,assists_2015_2016,passes_2015_2016,passes_per_match_2015_2016,big_chances_created_2015_2016,crosses_2015_2016,cross_accuracy_percentage_2015_2016,through_balls_2015_2016,accurate_long_balls_2015_2016,yellow_cards_2015_2016,red_cards_2015_2016,fouls_2015_2016,offsides_2015_2016,goals_2015_2016,headed_goals_2015_2016,goals_with_right_foot_2015_2016,goals_with_left_foot_2015_2016,hit_woodwork_2015_2016,goals_per_match_2015_2016,penalties_scored_2015_2016,freekicks_scored_2015_2016,shots_2015_2016,shots_on_target_2015_2016,shooting_accuracy_percentage_2015_2016,big_chances_missed_2015_2016,saves_2015_2016,penalties_saved_2015_2016,punches_2015_2016,high_claims_2015_2016,catches_2015_2016,sweeper_clearances_2015_2016,throw_outs_2015_2016,goal_kicks_2015_2016,appearances_2016_2017,clean_sheets_2016_2017,goals_conceded_2016_2017,tackles_2016_2017,tackle_success_percentage_2016_2017,last_man_tackles_2016_2017,blocked_shots_2016_2017,interceptions_2016_2017,clearances_2016_2017,headed_clearance_2016_2017,clearances_off_line_2016_2017,recoveries_2016_2017,duels_won_2016_2017,duels_lost_2016_2017,successful_50_50s_2016_2017,aerial_battles_won_2016_2017,aerial_battles_lost_2016_2017,own_goals_2016_2017,errors_leading_to_goal_2016_2017,assists_2016_2017,passes_2016_2017,passes_per_match_2016_2017,big_chances_created_2016_2017,crosses_2016_2017,cross_accuracy_percentage_2016_2017,through_balls_2016_2017,accurate_long_balls_2016_2017,yellow_cards_2016_2017,red_cards_2016_2017,fouls_2016_2017,offsides_2016_2017,goals_2016_2017,headed_goals_2016_2017,goals_with_right_foot_2016_2017,goals_with_left_foot_2016_2017,hit_woodwork_2016_2017,goals_per_match_2016_2017,penalties_scored_2016_2017,freekicks_scored_2016_2017,shots_2016_2017,shots_on_target_2016_2017,shooting_accuracy_percentage_2016_2017,big_chances_missed_2016_2017,saves_2016_2017,penalties_saved_2016_2017,punches_2016_2017,high_claims_2016_2017,catches_2016_2017,sweeper_clearances_2016_2017,throw_outs_2016_2017,goal_kicks_2016_2017,appearances_2017_2018,clean_sheets_2017_2018,goals_conceded_2017_2018,tackles_2017_2018,tackle_success_percentage_2017_2018,last_man_tackles_2017_2018,blocked_shots_2017_2018,interceptions_2017_2018,clearances_2017_2018,headed_clearance_2017_2018,clearances_off_line_2017_2018,recoveries_2017_2018,duels_won_2017_2018,duels_lost_2017_2018,successful_50_50s_2017_2018,aerial_battles_won_2017_2018,aerial_battles_lost_2017_2018,own_goals_2017_2018,errors_leading_to_goal_2017_2018,assists_2017_2018,passes_2017_2018,passes_per_match_2017_2018,big_chances_created_2017_2018,crosses_2017_2018,cross_accuracy_percentage_2017_2018,through_balls_2017_2018,accurate_long_balls_2017_2018,yellow_cards_2017_2018,red_cards_2017_2018,fouls_2017_2018,offsides_2017_2018,goals_2017_2018,headed_goals_2017_2018,goals_with_right_foot_2017_2018,goals_with_left_foot_2017_2018,hit_woodwork_2017_2018,goals_per_match_2017_2018,penalties_scored_2017_2018,freekicks_scored_2017_2018,shots_2017_2018,shots_on_target_2017_2018,shooting_accuracy_percentage_2017_2018,big_chances_missed_2017_2018,saves_2017_2018,penalties_saved_2017_2018,punches_2017_2018,high_claims_2017_2018,catches_2017_2018,sweeper_clearances_2017_2018,throw_outs_2017_2018,goal_kicks_2017_2018,appearances_2018_2019,clean_sheets_2018_2019,goals_conceded_2018_2019,tackles_2018_2019,tackle_success_percentage_2018_2019,last_man_tackles_2018_2019,blocked_shots_2018_2019,interceptions_2018_2019,clearances_2018_2019,headed_clearance_2018_2019,clearances_off_line_2018_2019,recoveries_2018_2019,duels_won_2018_2019,duels_lost_2018_2019,successful_50_50s_2018_2019,aerial_battles_won_2018_2019,aerial_battles_lost_2018_2019,own_goals_2018_2019,errors_leading_to_goal_2018_2019,assists_2018_2019,passes_2018_2019,passes_per_match_2018_2019,big_chances_created_2018_2019,crosses_2018_2019,cross_accuracy_percentage_2018_2019,through_balls_2018_2019,accurate_long_balls_2018_2019,yellow_cards_2018_2019,red_cards_2018_2019,fouls_2018_2019,offsides_2018_2019,goals_2018_2019,headed_goals_2018_2019,goals_with_right_foot_2018_2019,goals_with_left_foot_2018_2019,hit_woodwork_2018_2019,goals_per_match_2018_2019,penalties_scored_2018_2019,freekicks_scored_2018_2019,shots_2018_2019,shots_on_target_2018_2019,shooting_accuracy_percentage_2018_2019,big_chances_missed_2018_2019,saves_2018_2019,penalties_saved_2018_2019,punches_2018_2019,high_claims_2018_2019,catches_2018_2019,sweeper_clearances_2018_2019,throw_outs_2018_2019,goal_kicks_2018_2019
Rolando Aarons ,Midfielder,10,0.0,0.0,13.0,77.0,0.0,0.0,6.0,10.0,5.0,0.0,23.0,29.0,34.0,5.0,4.0,6.0,0.0,1.0,1,119.0,11.9,1.0,12.0,25.0,0.0,7.0,1,0,9,0.0,1,0.0,0.0,1.0,0.0,0.1,0.0,0.0,2.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,13.0,77.0,0.0,0.0,6.0,10.0,5.0,0.0,23.0,29.0,34.0,5.0,4.0,6.0,0.0,1.0,1,119.0,11.9,1.0,12.0,25.0,0.0,7.0,1,0,9,0.0,1,0.0,0.0,1.0,0.0,0.1,0.0,0.0,2.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,13.0,77.0,0.0,0.0,6.0,10.0,5.0,0.0,23.0,29.0,34.0,5.0,4.0,6.0,0.0,1.0,1,119.0,11.9,1.0,12.0,25.0,0.0,7.0,1,0,9,0.0,1,0.0,0.0,1.0,0.0,0.1,0.0,0.0,2.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,13.0,77.0,0.0,0.0,6.0,10.0,5.0,0.0,23.0,29.0,34.0,5.0,4.0,6.0,0.0,1.0,1,119.0,11.9,1.0,12.0,25.0,0.0,7.0,1,0,9,0.0,1,0.0,0.0,1.0,0.0,0.1,0.0,0.0,2.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Almen Abdi ,Midfielder,32,0.0,0.0,83.0,78.0,0.0,10.0,32.0,24.0,9.0,0.0,137.0,140.0,153.0,12.0,22.0,31.0,0.0,0.0,0,938.0,29.31,4.0,55.0,31.0,2.0,36.0,4,0,38,1.0,2,0.0,2.0,0.0,1.0,0.06,0.0,1.0,39.0,10.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,0.0,0.0,83.0,78.0,0.0,10.0,32.0,24.0,9.0,0.0,137.0,140.0,153.0,12.0,22.0,31.0,0.0,0.0,0,938.0,29.31,4.0,55.0,31.0,2.0,36.0,4,0,38,1.0,2,0.0,2.0,0.0,1.0,0.06,0.0,1.0,39.0,10.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,0.0,0.0,83.0,78.0,0.0,10.0,32.0,24.0,9.0,0.0,137.0,140.0,153.0,12.0,22.0,31.0,0.0,0.0,0,938.0,29.31,4.0,55.0,31.0,2.0,36.0,4,0,38,1.0,2,0.0,2.0,0.0,1.0,0.06,0.0,1.0,39.0,10.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,0.0,0.0,83.0,78.0,0.0,10.0,32.0,24.0,9.0,0.0,137.0,140.0,153.0,12.0,22.0,31.0,0.0,0.0,0,938.0,29.31,4.0,55.0,31.0,2.0,36.0,4,0,38,1.0,2,0.0,2.0,0.0,1.0,0.06,0.0,1.0,39.0,10.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdul Rahman Baba ,Defender,15,2.0,13.0,47.0,83.0,0.0,1.0,23.0,32.0,13.0,1.0,76.0,67.0,65.0,8.0,8.0,13.0,0.0,1.0,1,526.0,35.07,0.0,31.0,16.0,0.0,18.0,1,0,14,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2.0,13.0,47.0,83.0,0.0,1.0,23.0,32.0,13.0,1.0,76.0,67.0,65.0,8.0,8.0,13.0,0.0,1.0,1,526.0,35.07,0.0,31.0,16.0,0.0,18.0,1,0,14,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2.0,13.0,47.0,83.0,0.0,1.0,23.0,32.0,13.0,1.0,76.0,67.0,65.0,8.0,8.0,13.0,0.0,1.0,1,526.0,35.07,0.0,31.0,16.0,0.0,18.0,1,0,14,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2.0,13.0,47.0,83.0,0.0,1.0,23.0,32.0,13.0,1.0,76.0,67.0,65.0,8.0,8.0,13.0,0.0,1.0,1,526.0,35.07,0.0,31.0,16.0,0.0,18.0,1,0,14,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mehdi Abeid ,Midfielder,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tammy Abraham ,Forward,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0,5.0,0.0,2.0,0.0,0.0,0.0,0,0,2,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0,5.0,0.0,2.0,0.0,0.0,0.0,0,0,2,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0,5.0,0.0,2.0,0.0,0.0,0.0,0,0,2,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0,5.0,0.0,2.0,0.0,0.0,0.0,0,0,2,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie Adam ,Midfielder,22,0.0,0.0,18.0,78.0,0.0,9.0,12.0,14.0,10.0,0.0,73.0,68.0,76.0,10.0,17.0,10.0,0.0,0.0,1,546.0,24.82,1.0,40.0,30.0,1.0,68.0,6,1,30,0.0,1,0.0,1.0,0.0,0.0,0.05,0.0,0.0,29.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.0,0.0,18.0,78.0,0.0,9.0,12.0,14.0,10.0,0.0,73.0,68.0,76.0,10.0,17.0,10.0,0.0,0.0,1,546.0,24.82,1.0,40.0,30.0,1.0,68.0,6,1,30,0.0,1,0.0,1.0,0.0,0.0,0.05,0.0,0.0,29.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.0,0.0,18.0,78.0,0.0,9.0,12.0,14.0,10.0,0.0,73.0,68.0,76.0,10.0,17.0,10.0,0.0,0.0,1,546.0,24.82,1.0,40.0,30.0,1.0,68.0,6,1,30,0.0,1,0.0,1.0,0.0,0.0,0.05,0.0,0.0,29.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.0,0.0,18.0,78.0,0.0,9.0,12.0,14.0,10.0,0.0,73.0,68.0,76.0,10.0,17.0,10.0,0.0,0.0,1,546.0,24.82,1.0,40.0,30.0,1.0,68.0,6,1,30,0.0,1,0.0,1.0,0.0,0.0,0.05,0.0,0.0,29.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emmanuel Adebayor ,Forward,12,0.0,0.0,2.0,0.0,0.0,2.0,1.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,230.0,19.17,0.0,6.0,0.0,0.0,0.0,1,0,10,11.0,1,1.0,0.0,0.0,1.0,0.08,0.0,0.0,12.0,4.0,33.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,2.0,0.0,0.0,2.0,1.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,230.0,19.17,0.0,6.0,0.0,0.0,0.0,1,0,10,11.0,1,1.0,0.0,0.0,1.0,0.08,0.0,0.0,12.0,4.0,33.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,2.0,0.0,0.0,2.0,1.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,230.0,19.17,0.0,6.0,0.0,0.0,0.0,1,0,10,11.0,1,1.0,0.0,0.0,1.0,0.08,0.0,0.0,12.0,4.0,33.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,2.0,0.0,0.0,2.0,1.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,230.0,19.17,0.0,6.0,0.0,0.0,0.0,1,0,10,11.0,1,1.0,0.0,0.0,1.0,0.08,0.0,0.0,12.0,4.0,33.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adrián ,Goalkeeper,32,9.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,853.0,26.66,0.0,0.0,0.0,0.0,275.0,1,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,2.0,19.0,40.0,11.0,31.0,155.0,288.0,32,9.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,853.0,26.66,0.0,0.0,0.0,0.0,275.0,1,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,2.0,19.0,40.0,11.0,31.0,155.0,288.0,32,9.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,853.0,26.66,0.0,0.0,0.0,0.0,275.0,1,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,2.0,19.0,40.0,11.0,31.0,155.0,288.0,32,9.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,853.0,26.66,0.0,0.0,0.0,0.0,275.0,1,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,2.0,19.0,40.0,11.0,31.0,155.0,288.0
Ibrahim Afellay ,Midfielder,31,0.0,0.0,27.0,81.0,0.0,10.0,11.0,12.0,5.0,0.0,162.0,117.0,110.0,41.0,14.0,16.0,0.0,0.0,2,1274.0,41.1,3.0,68.0,16.0,3.0,68.0,3,1,19,2.0,2,1.0,1.0,0.0,0.0,0.06,0.0,0.0,39.0,8.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.0,0.0,27.0,81.0,0.0,10.0,11.0,12.0,5.0,0.0,162.0,117.0,110.0,41.0,14.0,16.0,0.0,0.0,2,1274.0,41.1,3.0,68.0,16.0,3.0,68.0,3,1,19,2.0,2,1.0,1.0,0.0,0.0,0.06,0.0,0.0,39.0,8.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.0,0.0,27.0,81.0,0.0,10.0,11.0,12.0,5.0,0.0,162.0,117.0,110.0,41.0,14.0,16.0,0.0,0.0,2,1274.0,41.1,3.0,68.0,16.0,3.0,68.0,3,1,19,2.0,2,1.0,1.0,0.0,0.0,0.06,0.0,0.0,39.0,8.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.0,0.0,27.0,81.0,0.0,10.0,11.0,12.0,5.0,0.0,162.0,117.0,110.0,41.0,14.0,16.0,0.0,0.0,2,1274.0,41.1,3.0,68.0,16.0,3.0,68.0,3,1,19,2.0,2,1.0,1.0,0.0,0.0,0.06,0.0,0.0,39.0,8.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benik Afobe ,Forward,15,0.0,0.0,5.0,0.0,0.0,2.0,2.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,224.0,14.93,0.0,4.0,0.0,0.0,0.0,0,0,15,9.0,4,3.0,1.0,0.0,0.0,0.27,0.0,0.0,14.0,5.0,36.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,5.0,0.0,0.0,2.0,2.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,224.0,14.93,0.0,4.0,0.0,0.0,0.0,0,0,15,9.0,4,3.0,1.0,0.0,0.0,0.27,0.0,0.0,14.0,5.0,36.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,5.0,0.0,0.0,2.0,2.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,224.0,14.93,0.0,4.0,0.0,0.0,0.0,0,0,15,9.0,4,3.0,1.0,0.0,0.0,0.27,0.0,0.0,14.0,5.0,36.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,5.0,0.0,0.0,2.0,2.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,224.0,14.93,0.0,4.0,0.0,0.0,0.0,0,0,15,9.0,4,3.0,1.0,0.0,0.0,0.27,0.0,0.0,14.0,5.0,36.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabriel Agbonlahor ,Forward,15,0.0,0.0,6.0,0.0,0.0,2.0,2.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,223.0,14.87,2.0,12.0,0.0,0.0,0.0,0,0,21,3.0,1,0.0,0.0,1.0,0.0,0.07,0.0,0.0,10.0,6.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,6.0,0.0,0.0,2.0,2.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,223.0,14.87,2.0,12.0,0.0,0.0,0.0,0,0,21,3.0,1,0.0,0.0,1.0,0.0,0.07,0.0,0.0,10.0,6.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,6.0,0.0,0.0,2.0,2.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,223.0,14.87,2.0,12.0,0.0,0.0,0.0,0,0,21,3.0,1,0.0,0.0,1.0,0.0,0.07,0.0,0.0,10.0,6.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,6.0,0.0,0.0,2.0,2.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,223.0,14.87,2.0,12.0,0.0,0.0,0.0,0,0,21,3.0,1,0.0,0.0,1.0,0.0,0.07,0.0,0.0,10.0,6.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sergio Agüero ,Forward,30,0.0,0.0,15.0,0.0,0.0,26.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,727.0,24.23,5.0,20.0,0.0,0.0,0.0,1,0,20,27.0,24,5.0,16.0,3.0,4.0,0.8,4.0,0.0,119.0,52.0,44.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,15.0,0.0,0.0,26.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,727.0,24.23,5.0,20.0,0.0,0.0,0.0,1,0,20,27.0,24,5.0,16.0,3.0,4.0,0.8,4.0,0.0,119.0,52.0,44.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,15.0,0.0,0.0,26.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,727.0,24.23,5.0,20.0,0.0,0.0,0.0,1,0,20,27.0,24,5.0,16.0,3.0,4.0,0.8,4.0,0.0,119.0,52.0,44.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,15.0,0.0,0.0,26.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,727.0,24.23,5.0,20.0,0.0,0.0,0.0,1,0,20,27.0,24,5.0,16.0,3.0,4.0,0.8,4.0,0.0,119.0,52.0,44.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nathan Aké ,Defender,24,7.0,24.0,79.0,67.0,0.0,3.0,76.0,72.0,26.0,1.0,80.0,135.0,73.0,10.0,34.0,25.0,0.0,0.0,0,609.0,25.38,1.0,42.0,12.0,0.0,30.0,4,1,28,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,7.0,24.0,79.0,67.0,0.0,3.0,76.0,72.0,26.0,1.0,80.0,135.0,73.0,10.0,34.0,25.0,0.0,0.0,0,609.0,25.38,1.0,42.0,12.0,0.0,30.0,4,1,28,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,7.0,24.0,79.0,67.0,0.0,3.0,76.0,72.0,26.0,1.0,80.0,135.0,73.0,10.0,34.0,25.0,0.0,0.0,0,609.0,25.38,1.0,42.0,12.0,0.0,30.0,4,1,28,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,7.0,24.0,79.0,67.0,0.0,3.0,76.0,72.0,26.0,1.0,80.0,135.0,73.0,10.0,34.0,25.0,0.0,0.0,0,609.0,25.38,1.0,42.0,12.0,0.0,30.0,4,1,28,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chuba Akpom ,Forward,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
